Category: All categories

Month,buffett indicator: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,9
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,5
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,5
2008-09,4
2008-10,0
2008-11,4
2008-12,13
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,3
2010-04,0
2010-05,0
2010-06,0
2010-07,3
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,2
2011-02,0
2011-03,2
2011-04,0
2011-05,0
2011-06,0
2011-07,2
2011-08,0
2011-09,0
2011-10,2
2011-11,0
2011-12,2
2012-01,2
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,2
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,1
2013-05,0
2013-06,0
2013-07,3
2013-08,0
2013-09,0
2013-10,1
2013-11,3
2013-12,0
2014-01,0
2014-02,23
2014-03,21
2014-04,39
2014-05,22
2014-06,9
2014-07,12
2014-08,3
2014-09,4
2014-10,9
2014-11,4
2014-12,7
2015-01,4
2015-02,4
2015-03,3
2015-04,6
2015-05,1
2015-06,6
2015-07,3
2015-08,6
2015-09,1
2015-10,0
2015-11,1
2015-12,1
2016-01,4
2016-02,2
2016-03,2
2016-04,1
2016-05,2
2016-06,5
2016-07,2
2016-08,1
2016-09,1
2016-10,1
2016-11,2
2016-12,2
2017-01,1
2017-02,2
2017-03,4
2017-04,0
2017-05,1
2017-06,5
2017-07,4
2017-08,2
2017-09,3
2017-10,1
2017-11,5
2017-12,2
2018-01,13
2018-02,5
2018-03,3
2018-04,4
2018-05,6
2018-06,7
2018-07,11
2018-08,15
2018-09,13
2018-10,6
2018-11,7
2018-12,11
2019-01,14
2019-02,9
2019-03,4
2019-04,1
2019-05,5
2019-06,9
2019-07,4
2019-08,7
2019-09,10
2019-10,10
2019-11,10
2019-12,15
2020-01,26
2020-02,11
2020-03,60
2020-04,34
2020-05,49
2020-06,33
2020-07,21
2020-08,100
2020-09,33
2020-10,22
2020-11,39
2020-12,43
2021-01,34
2021-02,87
2021-03,31
2021-04,65
2021-05,35
2021-06,31
2021-07,38
2021-08,32
2021-09,36
2021-10,15
2021-11,26
2021-12,19
2022-01,32
2022-02,23
2022-03,20
2022-04,16
2022-05,25
